Configuration,Time,a,c,u,Volume
"(1, 1, 1)",15.03125,4.868715775617225,5.352549722317216,0.48004810077340787,109.88038846878896
"(1, 1, 2)",117.71875,4.882003623939208,4.343888772569683,0.2809069489061403,178.1027526217933
"(2, 1, 1)",119.5625,4.804977474300763,4.842986207642379,0.5067068010169226,195.74165367098885
"(1, 2, 1)",177.578125,6.328534066263412,4.848630603597533,0.5072696921193867,217.58339653967502
"(2, 2, 1)",111.734375,3.36546233614062,5.840950731652496,0.47844178061653936,229.17309775652873
"(2, 1, 2)",154.671875,3.8159100954192695,5.809152567207279,0.2184783938689683,296.8652665397675
"(1, 2, 2)",2520.703125,3.9279713885882854,5.430648742402675,0.234997809811246,324.2344244936669
"(2, 2, 2)",342.59375,3.3513246584487746,5.887942803693447,0.23921925698881938,458.16003589011854
"(3, 2, 2)",921.625,3.3445736663753944,5.875855984722919,0.24033378881042666,684.9241338686348
"(2, 3, 2)",979.5625,3.3493832459629536,5.876601148897158,0.24034938123596358,685.01129755233
"(2, 2, 3)",756.140625,3.350693429722441,5.881816953045124,0.1594738541691661,686.2664544690441
"(3, 3, 2)",1754.78125,3.345527509862791,5.874127961618746,0.24081089750055604,1024.8864479259016
"(3, 2, 3)",2369.09375,3.3445036239144645,5.868931251725345,0.16024166411959198,1026.3724171236834
"(2, 3, 3)",2208.96875,3.349479503736275,5.870023686918561,0.1602362544201579,1026.3949448425146
"(3, 3, 3)",4781.109375,3.3461893673015517,5.866599948744066,0.16055575850736575,1535.9670444314118
