calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4517.437448228285,-267.35070308,,2.1903
-4516.1356885380965,-267.15670122,,2.2052
-4516.856696945907,-267.54140797,,2.1904
-4517.275453115516,-267.37312791,,2.1975
-4516.448922554903,-266.71317979,,2.1837
-4515.957991823888,-266.64440576,,2.1152
-4518.106048257765,-267.12894106,,2.1092
-4516.67246158348,-267.03635617,,2.2012
-4516.491193686125,-267.32786933,,2.1894
-4517.879068310756,-267.7770934,,2.2105
-4516.923685022538,-267.73120231,,2.1825
-4517.021612803703,-266.49616585,,2.164
-4516.98914415777,-267.56313199,,2.1677
-4517.316847170426,-267.60221836,,2.2348
-4514.938701878051,-265.25318345,,2.1292
-4517.984848231034,-267.63816021,,2.2061
-4515.976298214596,-265.82906585,,2.1779
-4515.760527723862,-266.1993673,,2.1863
-4514.97125201746,-265.25870546,,2.1088
-4516.635050134271,-266.21414973,,2.2005
-4517.185239773508,-266.55533592,,2.203
-4516.788015299266,-267.92482522,,2.179
-4518.014572513697,-266.96833674,,2.1576
-4516.106061261849,-265.3545731,,2.0397
-4517.914707614082,-266.90636331,,2.1025
-4516.627894908695,-266.86884992,,2.1807
-4516.391150671116,-266.36300272,,2.1604
-4515.49644042305,-266.54340189,,2.1974
-4517.07559023764,-266.77053898,,2.2201
-4516.944601140564,-266.11439008,,2.1369
-4516.72041086324,-267.25340735,,2.2138
-4517.313078201046,-265.38098665,,2.2258
-4517.178919807961,-268.10373337,,2.2194
-4517.651515352636,-266.67479172,,2.1533
-4516.685593855898,-265.46611875,,2.1756
-4518.174936597742,-267.15569564,,2.205
-4517.3415978299245,-267.02356155,,2.1709
-4517.62519291884,-266.84910718,,2.1867
-4517.502822009018,-267.79999713,,2.1308
-4516.527084775863,-267.80312509,,2.214
-4516.992591030869,-265.41714021,,2.0451
-4516.95512224727,-266.93886726,,2.1399
-4517.448739506203,-266.44331013,,2.1454
-4517.447296659728,-267.2433388,,2.1572
-4516.589370606035,-265.84323663,,2.13
-4517.853635449015,-266.63123969,,2.17
-4516.987517611579,-266.09969004,,2.1716
-4518.179017521447,-267.60643736,,2.1902
-4515.987102533329,-265.93988087,,2.1941
-4517.403327216637,-267.14471321,,2.1683
-4518.502980952748,-269.62971251,,2.2176
-4519.286779330642,-269.09413757,,2.1936
-4519.725942662223,-269.22289461,,2.2156
-4519.315657730493,-269.25299633,,2.2337
-4519.138409450405,-269.41768295,,2.209
-4518.748030895899,-269.71189862,,2.229
-4519.440947273739,-269.26239767,,2.1934
-4519.524781625983,-269.51556336,,2.1899
-4520.200242810038,-268.79695262,,2.1738
-4519.110123724889,-269.5229275,,2.1826
-4518.922731912133,-269.51298334,,2.2224
-4520.079055984912,-269.43106019,,2.2204
-4518.746445758636,-269.16089389,,2.2131
-4518.58722744511,-269.84035408,,2.2009
-4519.075598169725,-269.27956985,,2.1816
-4519.831715838431,-269.57795898,,2.2189
-4519.614668802519,-269.8697421,,2.2342
-4519.1783084894405,-269.12482395,,2.162
-4519.28252894558,-268.94780768,,2.1769
-4519.176015951373,-269.62602358,,2.1981
-4518.695803470837,-269.54922462,,2.2246
-4518.312476450201,-269.63617975,,2.2075
-4520.222449798675,-269.04096152,,2.1754
-4518.411134148503,-269.38865967,,2.1842
-4518.668142070305,-269.20975794,,2.2328
-4519.752966149766,-269.58257558,,2.2132
-4519.469968166284,-269.37192084,,2.2242
-4518.945000482043,-268.71246588,,2.1887
-4519.139908393698,-269.65324953,,2.2078
-4518.856287807986,-269.62980872,,2.2153
-4518.827279318662,-269.27198307,,2.2011
-4519.391324419437,-269.39207641,,2.2144
-4518.649677971655,-268.79546735,,2.2028
-4519.897385736191,-269.47486178,,2.2309
-4519.090540336477,-269.06790563,,2.2049
-4519.670187739718,-269.36692795,,2.1823
-4518.924324526814,-269.4130829,,2.2041
-4518.793749506217,-269.011555,,2.2102
-4519.255771598457,-269.60475637,,2.2116
-4519.841691971004,-269.82282249,,2.2016
-4519.014661590016,-268.86361404,,2.2041
-4518.880404216058,-269.4787468,,2.2285
-4519.30561327938,-269.74213736,,2.1952
-4518.975937464624,-268.94814917,,2.2269
-4520.057355062479,-269.55306459,,2.2358
-4518.5607214381325,-269.94613572,,2.2308
-4519.331659818291,-269.42061311,,2.217
-4519.491098252339,-269.21636134,,2.2082
-4518.061633211353,-269.1817031,,2.2049
-4519.5772922486485,-269.52256721,,2.1984
