generation,best_fitness,avg_fitness,std_fitness,delta_element.Cd.levels[0],delta_element.Cd.levels[1],delta_element.Cd.slater[0],delta_element.Cd.slater[1],delta_element.Cd.shpoly[0],delta_element.Cd.shpoly[1],delta_element.Cd.kcn[0],delta_element.Cd.kcn[1],delta_element.Cd.gam,delta_element.Cd.lgam[0],delta_element.Cd.lgam[1],delta_element.Cd.arep,delta_element.Cd.en,delta_element.S.levels[0],delta_element.S.levels[1],delta_element.S.levels[2],delta_element.S.slater[0],delta_element.S.slater[1],delta_element.S.slater[2],delta_element.S.shpoly[0],delta_element.S.shpoly[1],delta_element.S.shpoly[2],delta_element.S.kcn[0],delta_element.S.kcn[1],delta_element.S.kcn[2],delta_element.S.gam,delta_element.S.lgam[0],delta_element.S.lgam[1],delta_element.S.lgam[2],delta_element.S.arep,delta_element.S.en
0,1.0157964227453804,1.0157964227453804,0.0,2.6658325353629895,0.7603587380123722,0.19387400693008683,0.19753928989737757,-0.002519514652210092,-0.001387298388678626,0.03559742804928126,0.19818653666978756,0.023713982546226725,-0.057166211989389426,-0.08057527859904579,-0.09773260993986321,-0.12309748706668766,-1.340049930872521,1.12193575396447,-0.06673270056452751,-0.12089339106006136,-0.0681499532966594,0.24096700383488745,0.039973721719397365,-0.008631991188422831,-0.014737635838407953,-0.012654598011182489,0.0022585599451258806,-0.0012216877781233895,0.1567127301947917,0.1283134833956443,0.0667419901915407,-0.22310729749400715,0.2667309520371406,-0.010972349763833211
1,0.33139831383406326,0.33139831383406326,0.0,-2.6270532483721993,-0.6954170660695289,0.133585721089454,0.10439673609587286,0.024802045799329556,0.00502133830758926,0.10079107301011778,0.18556214265800816,-0.00378067671700405,-0.12581195717189986,0.02543948231721005,0.08565913596311558,0.011379753280770455,4.358270219858742,-0.3091292492769995,-0.27513626727406537,-0.511597136216202,0.03579299313447848,0.17425921422960045,-0.007321560135662736,0.0007430634560717589,-0.02287119053607689,-0.016178905674887667,0.003926894777781374,0.0014359954338715314,-0.07690136973735306,0.0279400714094582,0.06767234839802938,-0.057208025333708945,-0.17696013325642101,-0.5066410404619557
2,0.31364277713666544,0.31364277713666544,0.0,2.82769341609532,-0.5588014811708777,-0.2212599775540196,0.2572659396670851,0.012578674083903743,-0.003629750389555139,0.06628452326323644,0.0012411909559914142,-0.010523814623609656,-0.08473861384506709,0.15443100082067718,0.24809370282988819,0.15464229704479937,-2.1587040101392887,2.0672211337747424,-0.36280201775450616,0.46076143861410657,-0.32228296039589077,-0.23326212360531762,-0.002698129995246351,0.006749283287573814,-0.014165935446668831,-0.013723133654538727,-0.0027727930525928493,0.000695814452607104,-0.1342493230548807,-0.03779112174183008,0.05412461234335175,-0.21495383538395274,0.01429208868409737,-0.07249780293715347
3,0.8091843007930888,0.8091843007930888,0.0,-0.08631241049254434,0.2382029573107185,0.29996704962584486,0.19671172615722043,-0.002651457337496818,-0.005833954179031722,0.1428047350441188,0.06484191925148808,-0.007169107326354465,0.024343038428231933,0.16900949104097396,-0.21342797963357385,-0.14617829276404737,-1.5969826487221148,-0.8352717615111125,0.0497296917443637,-0.1775767963256376,-0.42863882222652827,-0.24289154328501183,0.03954675653990378,0.011148136632568272,0.010378139617879617,0.011963221951363928,0.001292492151810043,-0.0018043421257022026,-0.009167511006197726,0.0664829424307587,-0.009564449654270946,0.06739662851082828,0.17071725061142806,0.15606192029714983
4,1.746326857914453,1.746326857914453,0.0,1.8040062058022155,-0.15312710901115034,0.20052791258015068,0.2930364496543676,-0.0032243693475284274,0.013851274075178832,-0.013549211740795777,-0.07788610981257402,-0.023944700730252927,-0.13259404763867433,-0.09633886314508844,0.004211539518978125,0.1707983475109649,2.3807464283414,-2.3381904348925904,0.20684903930019094,0.6235842028758225,-0.2826497092477205,-0.35407032254863435,0.030654259688463664,0.002317988528812244,0.0015940675580533026,0.023282624678125197,0.00899968262008614,-0.0016516199680752831,0.0754675742134353,0.0388495692772326,-0.02222659842657282,0.062230009050276536,0.19430896051090496,-0.4807346390743614
5,1.3952602652014425,1.3952602652014425,0.0,-0.9326468970960757,-0.37847801840264284,0.20001543459685855,0.03308033454403225,0.007465548803531841,0.004031999656838731,0.027270479702718897,0.10841994815331216,-0.005670458366947129,0.24133185791584033,0.0740297820938628,0.15985823579794745,0.1122433825667084,0.29847137186906636,2.2054751392157197,0.38978224984686594,-0.458779640016743,-0.09041988961452607,-0.0027645251349779354,-0.01472600197616783,0.009157854874030112,-0.023804313319736703,-0.003944416382847066,-0.0030012396945614805,0.0008124193334825246,-0.14929272607517324,0.045921024515583,0.15447491202834795,0.14031664458070514,0.2758074776001682,-0.1317313161434801
6,0.7468222751431561,0.7468222751431561,0.0,0.7752273029517731,-0.6904721152684155,0.05582867153068216,-0.08671012195214312,-0.02488790492645579,-0.00818303537699111,0.16170964725726958,-0.015553599010773508,0.005431646689581265,-0.12692529855841694,0.01980658904419641,-0.21920227956090466,0.3875821287063377,0.03823243723753933,-1.0318104590516075,0.18420143229036334,-0.03627689577078641,-0.4752851236971254,0.358959671899413,0.013235514699850431,0.0005826081450324705,-0.02949635296011638,0.022640651488492425,0.002201935240108338,0.00013888204777535822,0.032614757403854,-0.24007109522081294,0.15968533969017573,0.1909119949576743,-0.24309469277799078,0.5079940215717609
7,0.3306796784616115,0.3306796784616115,0.0,2.0049040166479966,0.7526827746571731,0.38585963114406496,0.20235750860291568,0.021724525773033534,-0.004603419582559956,-0.08167605049399634,0.16158329785944056,-0.0019302644236944277,0.15441884986604348,-0.21977301684022765,-0.0928328726986134,0.054911387069036977,-3.3879352801331954,1.1818470093868054,0.095979970500363,0.39581137735996297,-0.1877619533130972,0.42617370339087834,0.025381005677858254,-0.008242432683945096,0.021587998773986705,0.007244043176823617,-8.412341943056512e-05,-8.836612003302463e-05,0.06957809940293302,-0.18326136002845494,0.0979406595467539,-0.14167733098121094,-0.16243265672991147,0.02764856842912744
8,0.34095940018682214,0.34095940018682214,0.0,2.2174094471914767,-0.746066549216033,0.4639949947576243,0.06950788396788066,-0.0005766397875156398,0.00828007998275522,0.13342318098079733,-0.08859478007173896,0.025385244439618787,-0.2317578794506867,-0.20332227040525197,-0.16943262546792281,0.17870802021638532,4.403112817567788,0.4045942509586631,-0.4127579086690254,-0.29698017744289906,-0.26186617257514033,0.20863888030967503,-0.03653043044025639,0.014782816823099183,-0.014282132453292962,0.031011385212803694,-0.008018197889662758,-0.0005150660521317241,0.12437067181102646,0.2056001626180799,-0.02970004931857373,-0.0902085512402625,0.09030563309001938,-0.019492746883222
9,0.8275632344143344,0.8275632344143344,0.0,0.3768000924508339,0.25120597760018315,-0.20674958498552498,0.12948340126234603,-0.00018332421189201642,-0.007803759681789597,-0.03802576260297007,-0.04415554393291293,-0.013760629280336709,0.13586132526007177,-0.025399819265502832,-0.0201918936497818,-0.40114854166981373,-5.572095959983631,2.8568858463074953,-0.07585202125224466,-0.1102952126723844,0.2424933836738994,-0.03313454887895362,-0.030292968285123678,-2.335056529558649e-05,0.028896243629267626,0.024703135589953795,0.0012872937773442325,9.626203920053318e-05,0.07871420820779329,0.05701781449440313,-0.010140627531503132,-0.09657800805029604,-0.21732588859110324,0.4862354374258646
