calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4629.4282,-267.35070308,2.1830000000000003,2.1903
-4629.2428,-267.15670122,2.2159999999999997,2.2052
-4629.7644,-267.54140797,2.1830000000000003,2.1904
-4629.6419,-267.37312791,2.182,2.1975
-4628.7335,-266.71317979,2.1400000000000006,2.1837
-4628.5124,-266.64440576,2.0949999999999998,2.1152
-4629.1832,-267.12894106,2.127,2.1092
-4629.1265,-267.03635617,2.1710000000000003,2.2012
-4629.4892,-267.32786933,2.1,2.1894
-4629.941,-267.7770934,2.1119999999999997,2.2105
-4630.0289,-267.73120231,2.229,2.1825
-4628.3979,-266.49616585,2.1399999999999997,2.164
-4629.9328,-267.56313199,2.19,2.1677
-4629.7333,-267.60221836,2.141,2.2348
-4626.7238,-265.25318345,2.109,2.1292
-4629.9512,-267.63816021,2.264,2.2061
-4627.4587,-265.82906585,2.2169999999999996,2.1779
-4628.0004,-266.1993673,2.191,2.1863
-4626.9548,-265.25870546,2.1610000000000005,2.1088
-4628.0132,-266.21414973,2.1130000000000004,2.2005
-4628.4493,-266.55533592,2.084,2.203
-4630.2498,-267.92482522,2.14,2.179
-4628.9745,-266.96833674,2.117,2.1576
-4626.8631,-265.3545731,2.1079999999999997,2.0397
-4628.9074,-266.90636331,2.0699999999999994,2.1025
-4628.8611,-266.86884992,2.115,2.1807
-4628.2344,-266.36300272,2.2479999999999998,2.1604
-4628.1942,-266.54340189,2.159,2.1974
-4628.7248,-266.77053898,2.139,2.2201
-4627.8899,-266.11439008,2.115,2.1369
-4629.2832,-267.25340735,2.2149999999999994,2.2138
-4626.7955,-265.38098665,2.212,2.2258
-4630.4861,-268.10373337,2.116,2.2194
-4628.6775,-266.67479172,2.1990000000000003,2.1533
-4626.946,-265.46611875,2.093,2.1756
-4629.1766,-267.15569564,2.1570000000000005,2.205
-4629.0866,-267.02356155,2.187,2.1709
-4628.9974,-266.84910718,2.2399999999999998,2.1867
-4630.1224,-267.79999713,2.104,2.1308
-4630.0286,-267.80312509,2.196,2.214
-4626.9049,-265.41714021,2.076,2.0451
-4629.0188,-266.93886726,2.1310000000000002,2.1399
-4628.3276,-266.44331013,2.169,2.1454
-4629.4345,-267.2433388,2.0709999999999997,2.1572
-4627.5183,-265.84323663,2.113,2.13
-4628.5923,-266.63123969,2.1819999999999995,2.17
-4627.8233,-266.09969004,2.185,2.1716
-4629.78,-267.60643736,2.105,2.1902
-4627.7189,-265.93988087,2.2399999999999998,2.1941
-4629.3023,-267.14471321,2.155,2.1683
-4632.449,-269.62971251,2.291,2.2176
-4631.9316,-269.09413757,2.266,2.1936
-4631.9369,-269.22289461,2.214,2.2156
-4631.9478,-269.25299633,2.251,2.2337
-4632.1501,-269.41768295,2.1799999999999997,2.209
-4632.5834,-269.71189862,2.255,2.229
-4631.9834,-269.26239767,2.1849999999999996,2.1934
-4632.2599,-269.51556336,2.213,2.1899
-4631.4458,-268.79695262,2.229,2.1738
-4632.3336,-269.5229275,2.2249999999999996,2.1826
-4632.3129,-269.51298334,2.2479999999999998,2.2224
-4632.1447,-269.43106019,2.1590000000000003,2.2204
-4631.8247,-269.16089389,2.229,2.2131
-4632.6305,-269.84035408,2.1780000000000004,2.2009
-4632.0911,-269.27956985,2.2820000000000005,2.1816
-4632.3451,-269.57795898,2.213,2.2189
-4632.7006,-269.8697421,2.1750000000000003,2.2342
-4631.8351,-269.12482395,2.182,2.162
-4631.6421,-268.94780768,2.2700000000000005,2.1769
-4632.4859,-269.62602358,2.1959999999999997,2.1981
-4632.2485,-269.54922462,2.173,2.2246
-4632.5253,-269.63617975,2.16,2.2075
-4631.6728,-269.04096152,2.227,2.1754
-4632.1936,-269.38865967,2.2080000000000006,2.1842
-4631.9278,-269.20975794,2.2470000000000003,2.2328
-4632.3702,-269.58257558,2.0940000000000003,2.2132
-4632.1046,-269.37192084,2.209,2.2242
-4631.3212,-268.71246588,2.208,2.1887
-4632.4334,-269.65324953,2.2199999999999998,2.2078
-4632.4339,-269.62980872,2.25,2.2153
-4632.0499,-269.27198307,2.223,2.2011
-4632.1644,-269.39207641,2.194,2.2144
-4631.3741,-268.79546735,2.164,2.2028
-4632.2869,-269.47486178,2.1879999999999997,2.2309
-4631.7603,-269.06790563,2.185,2.2049
-4632.1201,-269.36692795,2.1569999999999996,2.1823
-4632.156,-269.4130829,2.2609999999999997,2.2041
-4631.658,-269.011555,2.203,2.2102
-4632.4017,-269.60475637,2.232,2.2116
-4632.6506,-269.82282249,2.239,2.2016
-4631.4806,-268.86361404,2.223,2.2041
-4632.2139,-269.4787468,2.224,2.2285
-4632.6175,-269.74213736,2.184,2.1952
-4631.5395,-268.94814917,2.2129999999999996,2.2269
-4632.2944,-269.55306459,2.1960000000000006,2.2358
-4632.8769,-269.94613572,2.286,2.2308
-4632.1604,-269.42061311,2.169,2.217
-4631.955,-269.21636134,2.2020000000000004,2.2082
-4631.8475,-269.1817031,2.186,2.2049
-4632.3434,-269.52256721,2.2560000000000002,2.1984
