calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4521.298,-267.35070308,2.173,2.1903
-4521.2428,-267.15670122,2.229,2.2052
-4521.2481,-267.54140797,2.1800000000000006,2.1904
-4521.2258,-267.37312791,2.1799999999999997,2.1975
-4520.8284,-266.71317979,2.194,2.1837
-4520.848,-266.64440576,2.199,2.1152
-4521.1822,-267.12894106,2.1550000000000002,2.1092
-4521.1183,-267.03635617,2.2110000000000003,2.2012
-4521.1478,-267.32786933,2.1850000000000005,2.1894
-4521.7831,-267.7770934,2.127,2.2105
-4521.4331,-267.73120231,2.232,2.1825
-4521.1234,-266.49616585,2.144,2.164
-4521.2778,-267.56313199,2.2119999999999997,2.1677
-4521.5358,-267.60221836,2.173,2.2348
-4520.1978,-265.25318345,2.1930000000000005,2.1292
-4521.2566,-267.63816021,2.247,2.2061
-4520.4976,-265.82906585,2.1950000000000003,2.1779
-4520.9048,-266.1993673,2.162,2.1863
-4520.0327,-265.25870546,2.2219999999999995,2.1088
-4520.8789,-266.21414973,2.141,2.2005
-4521.078,-266.55533592,2.1260000000000003,2.203
-4521.5334,-267.92482522,2.167,2.179
-4521.0619,-266.96833674,2.1709999999999994,2.1576
-4520.0981,-265.3545731,2.165,2.0397
-4521.1634,-266.90636331,2.1580000000000004,2.1025
-4521.2174,-266.86884992,2.1660000000000004,2.1807
-4520.4664,-266.36300272,2.2349999999999994,2.1604
-4520.576,-266.54340189,2.1719999999999997,2.1974
-4520.8664,-266.77053898,2.2009999999999996,2.2201
-4520.8727,-266.11439008,2.1100000000000003,2.1369
-4521.0146,-267.25340735,2.224,2.2138
-4520.0525,-265.38098665,2.2300000000000004,2.2258
-4521.7183,-268.10373337,2.202,2.2194
-4520.8811,-266.67479172,2.176,2.1533
-4520.5127,-265.46611875,2.1310000000000002,2.1756
-4521.4027,-267.15569564,2.175,2.205
-4521.0314,-267.02356155,2.2169999999999996,2.1709
-4520.8233,-266.84910718,2.2479999999999993,2.1867
-4521.4199,-267.79999713,2.2039999999999997,2.1308
-4521.312,-267.80312509,2.215,2.214
-4520.3296,-265.41714021,2.1400000000000006,2.0451
-4521.122,-266.93886726,2.17,2.1399
-4520.8959,-266.44331013,2.149,2.1454
-4521.0394,-267.2433388,2.2299999999999995,2.1572
-4520.587,-265.84323663,2.0989999999999993,2.13
-4520.8441,-266.63123969,2.1610000000000005,2.17
-4520.6853,-266.09969004,2.1950000000000003,2.1716
-4521.469,-267.60643736,2.159,2.1902
-4520.1943,-265.93988087,2.2150000000000007,2.1941
-4521.3448,-267.14471321,2.167,2.1683
-4523.6287,-269.62971251,2.25,2.2176
-4523.5606,-269.09413757,2.2119999999999997,2.1936
-4523.6404,-269.22289461,2.167,2.2156
-4523.0699,-269.25299633,2.234,2.2337
-4523.6617,-269.41768295,2.1849999999999996,2.209
-4523.4125,-269.71189862,2.215,2.229
-4523.4292,-269.26239767,2.213,2.1934
-4523.8998,-269.51556336,2.167,2.1899
-4523.3082,-268.79695262,2.2010000000000005,2.1738
-4523.5327,-269.5229275,2.1929999999999996,2.1826
-4523.3687,-269.51298334,2.2090000000000005,2.2224
-4523.5788,-269.43106019,2.1630000000000003,2.2204
-4523.713,-269.16089389,2.191,2.2131
-4523.7151,-269.84035408,2.186,2.2009
-4523.4666,-269.27956985,2.247,2.1816
-4523.9878,-269.57795898,2.1770000000000005,2.2189
-4523.9271,-269.8697421,2.194,2.2342
-4523.999,-269.12482395,2.1790000000000003,2.162
-4523.5315,-268.94780768,2.2090000000000005,2.1769
-4523.4723,-269.62602358,2.2199999999999998,2.1981
-4523.6455,-269.54922462,2.1740000000000004,2.2246
-4523.4153,-269.63617975,2.1870000000000003,2.2075
-4523.9677,-269.04096152,2.1930000000000005,2.1754
-4523.4241,-269.38865967,2.2269999999999994,2.1842
-4523.4844,-269.20975794,2.2040000000000006,2.2328
-4523.1324,-269.58257558,2.1980000000000004,2.2132
-4523.5532,-269.37192084,2.189,2.2242
-4523.3137,-268.71246588,2.2190000000000003,2.1887
-4523.5852,-269.65324953,2.202,2.2078
-4523.4583,-269.62980872,2.221,2.2153
-4523.4053,-269.27198307,2.2,2.2011
-4523.6621,-269.39207641,2.1740000000000004,2.2144
-4523.337,-268.79546735,2.1689999999999996,2.2028
-4523.5075,-269.47486178,2.1849999999999996,2.2309
-4523.5267,-269.06790563,2.189,2.2049
-4523.6278,-269.36692795,2.2060000000000004,2.1823
-4523.4255,-269.4130829,2.234,2.2041
-4523.4085,-269.011555,2.2089999999999996,2.2102
-4523.6048,-269.60475637,2.2,2.2116
-4523.5679,-269.82282249,2.223,2.2016
-4523.3406,-268.86361404,2.1929999999999996,2.2041
-4523.3709,-269.4787468,2.218,2.2285
-4523.7912,-269.74213736,2.194,2.1952
-4523.1638,-268.94814917,2.21,2.2269
-4523.4332,-269.55306459,2.1959999999999997,2.2358
-4523.3551,-269.94613572,2.2650000000000006,2.2308
-4523.8701,-269.42061311,2.167,2.217
-4523.5137,-269.21636134,2.194,2.2082
-4523.383,-269.1817031,2.208,2.2049
-4523.9567,-269.52256721,2.2109999999999994,2.1984
