generation,best_fitness,avg_fitness,std_fitness
1,123.26443160448702,inf,
2,122.62009643841978,inf,
3,121.92965998776297,inf,
4,121.9546751745752,inf,
5,121.88027630046774,inf,
6,121.86358012105279,inf,
7,121.84429780789223,inf,
8,121.8496300678315,inf,
9,121.81040822745469,inf,
10,121.7771185984671,inf,
11,121.78792130199382,inf,
12,121.75743164321297,inf,
13,121.75843125919468,inf,
14,121.73557069929939,inf,
15,121.7489357551237,inf,
16,121.73609576805315,inf,
17,121.75180705895707,inf,
18,121.7400840660794,inf,
19,121.73695216260862,inf,
20,121.6997058720365,inf,
21,121.72487962330888,inf,
22,121.6610325893687,inf,
23,121.7036802987858,inf,
24,121.62296228144658,inf,
25,121.57555334880259,inf,
26,121.61557582752957,inf,
27,121.51552156596733,inf,
28,121.50031966159618,inf,
29,121.52645468238896,inf,
30,121.59349811645484,inf,
31,121.50112513977926,inf,
32,121.49925367770757,inf,
33,121.39209857671264,inf,
34,121.43317484124884,inf,
35,121.46892074685891,inf,
36,121.40605611091121,inf,
37,121.37711804438275,inf,
38,121.38936131034492,inf,
39,121.3844801565939,inf,
40,121.32457615886558,inf,
41,121.23426340892797,122.24748747780846,2.9215548054647154
42,121.18871250588676,inf,
43,121.14223944151722,inf,
44,121.10010585027264,121.33217412413202,0.15672126423978452
45,121.08534581091342,inf,
46,121.06554574473819,inf,
47,121.05032456310033,inf,
48,121.01087403177824,inf,
49,121.0304372821403,122.49446911652947,4.652451956164322
50,121.06282262579761,inf,
