structure_id,formula,n_atoms,volume,a,b,c,alpha,beta,gamma,energy
0,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.28487356
1,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-237.59403579
2,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.18705032
3,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.62798181
4,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-241.48092131
5,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.60680392
6,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.93431602
7,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.55606647
8,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.8213711
9,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.13098579
10,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.26602774
11,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.73428827
12,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.36094032
13,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.55010074
14,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.06043283
15,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.46030237
16,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.49877652
17,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.36511891
18,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.64801567
19,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.81443757
20,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.37019672
21,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.33545093
22,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.66061153
23,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.75394331
24,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.79168089
25,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.2079384
26,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.15939945
27,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.45428529
28,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.82780011
29,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.60421832
30,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.96149496
31,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.81452737
32,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.41649283
33,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.78960876
34,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.11002518
35,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.06817605
36,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.66782085
37,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.86764776
38,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.08245963
39,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-240.03870441
40,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.53565631
41,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.94157361
42,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-238.2154898
43,Cd36S36,72,1790.089868501848,12.39778545,12.39778544718036,13.44794642,90.0,90.0,119.9999999808414,-239.71309612
