generation,best_fitness,avg_fitness,std_fitness
1,12174.306545499861,inf,
2,12171.606183320459,inf,
3,12169.383040843453,inf,
4,12164.151839202503,inf,
5,12163.951944534727,inf,
6,12159.92832635679,12171.364148793644,18.269122680989963
7,12156.539164762731,12164.735486317257,5.25958107576494
8,12157.08018027482,inf,
9,12153.406933981758,inf,
10,12151.082236480577,inf,
11,12147.539003063239,inf,
12,12145.522986053475,inf,
13,12136.2243725451,inf,
14,12132.537014546015,12153.744115211908,32.35540926102323
15,12134.132065759184,inf,
16,12125.009028152439,inf,
17,12124.777550859895,inf,
18,12125.498865562087,inf,
19,12113.235586645691,inf,
20,12099.03619686204,inf,
21,12093.724269407208,inf,
22,12078.719563014289,inf,
23,12077.4832984023,inf,
24,12084.777178838287,inf,
25,12080.341404141955,inf,
26,12079.667996492419,inf,
27,12073.763490704432,inf,
28,12079.967766024352,inf,
29,12076.501628316724,inf,
30,12077.570481886472,inf,
31,12074.845498878798,inf,
32,12077.2652005728,inf,
33,12079.645899392686,inf,
34,12081.575435938274,inf,
35,12081.270110401347,inf,
36,12077.324083033205,inf,
37,12078.102123554609,inf,
38,12073.435699965763,inf,
39,12071.286720484388,inf,
40,12075.209678423731,inf,
41,12070.726555012665,inf,
42,12071.23069992737,inf,
43,12072.888079806,inf,
44,12075.190646343453,inf,
45,12074.067260151227,inf,
46,12069.835242389005,inf,
47,12073.027368771016,inf,
48,12070.370798607977,inf,
49,12066.619011039831,inf,
50,12067.292028807178,inf,
