generation,best_fitness,avg_fitness,std_fitness
1,8.256784798399076e-05,7.394562601832115e-05,2.4650675839945307e-05
2,8.30652797733134e-05,6.605265260481703e-05,3.3026828335796214e-05
3,8.30652797733134e-05,5.769820201602377e-05,3.777707842107857e-05
4,8.32194895228467e-05,8.297948716277717e-05,2.221286844533792e-07
5,8.32194895228467e-05,5.802028926716356e-05,3.7985066824562434e-05
6,8.32194895228467e-05,7.47466677038901e-05,2.4916048315679243e-05
7,8.32194895228467e-05,8.279475426892464e-05,3.9070307922995184e-07
8,8.32194895228467e-05,7.450021025729298e-05,2.483591658515784e-05
9,8.32194895228467e-05,8.303646608775067e-05,7.413691533381745e-08
10,8.322801721439764e-05,8.272548007446437e-05,4.124379819503849e-07
11,8.328745037691545e-05,7.473303433747352e-05,2.491158865968718e-05
12,8.328745037691545e-05,7.472425944473284e-05,2.4910439599062813e-05
13,8.329336183203848e-05,7.418281984203626e-05,2.4761937564586466e-05
14,8.329336183203848e-05,5.794329468721554e-05,3.79352972198004e-05
15,8.329336183203848e-05,8.279968818950689e-05,4.6487213552914066e-07
16,8.329336183203848e-05,6.619734961955836e-05,3.310219991231863e-05
17,8.329604292880672e-05,7.465547702082811e-05,2.488794803003173e-05
18,8.329604292893506e-05,6.634256943228032e-05,3.3173184368104675e-05
19,8.329604292893506e-05,6.622518866352347e-05,3.311524809743077e-05
20,8.329604292893506e-05,7.857745002441041e-05,1.2039976125729431e-05
