calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4273.126455499342,-267.35070308,0.017400000000000304,2.1903
-4271.981413198457,-267.15670122,0.009199999999999875,2.2052
-4272.154545885356,-267.54140797,0.009500000000000064,2.1904
-4273.190972737474,-267.37312791,0.006700000000000372,2.1975
-4271.536230081288,-266.71317979,0.00280000000000058,2.1837
-4271.045021782161,-266.64440576,0.008900000000000574,2.1152
-4273.608920873677,-267.12894106,0.012100000000000222,2.1092
-4271.816183281263,-267.03635617,0.0023999999999997357,2.2012
-4271.629862895345,-267.32786933,0.0024999999999995026,2.1894
-4273.94159692826,-267.7770934,0.001100000000000101,2.2105
-4272.942999360538,-267.73120231,0.018600000000000172,2.1825
-4273.016541590436,-266.49616585,0.007700000000000706,2.164
-4272.30763840263,-267.56313199,0.006099999999999994,2.1677
-4273.680342868005,-267.60221836,0.006300000000000416,2.2348
-4269.36082712398,-265.25318345,0.006899999999999906,2.1292
-4273.17840520037,-267.63816021,0.006400000000000183,2.2061
-4271.172152592837,-265.82906585,0.0034000000000000696,2.1779
-4271.061657497972,-266.1993673,0.004000000000000448,2.1863
-4270.6186181373505,-265.25870546,0.0034999999999998366,2.1088
-4271.949361905527,-266.21414973,0.0007999999999999119,2.2005
-4272.903838752539,-266.55533592,0.024999999999999467,2.203
-4272.747985746254,-267.92482522,0.00140000000000029,2.179
-4274.274401381129,-266.96833674,0.008599999999999497,2.1576
-4271.485641153386,-265.3545731,0.0045999999999999375,2.0397
-4273.180157624257,-266.90636331,0.0045999999999999375,2.1025
-4271.942548426933,-266.86884992,0.00590000000000046,2.1807
-4271.88488010043,-266.36300272,0.012800000000000367,2.1604
-4270.797699116274,-266.54340189,0.001700000000000479,2.1974
-4272.848822460528,-266.77053898,0.002200000000000202,2.2201
-4272.895839342955,-266.11439008,0.0011999999999998678,2.1369
-4272.066532313989,-267.25340735,0.015100000000000335,2.2138
-4272.077075949818,-265.38098665,0.006800000000000139,2.2258
-4272.864206045218,-268.10373337,0.010500000000000398,2.2194
-4272.432812911103,-266.67479172,0.0009999999999994458,2.1533
-4271.935976679056,-265.46611875,0.005499999999999616,2.1756
-4273.536657603151,-267.15569564,0.010099999999999554,2.205
-4273.061209737842,-267.02356155,0.012199999999999989,2.1709
-4272.582567269392,-266.84910718,0.005600000000000271,2.1867
-4272.997874168851,-267.79999713,0.0030000000000001137,2.1308
-4272.165015279273,-267.80312509,0.0030999999999998806,2.214
-4272.325522109896,-265.41714021,0.0031999999999996476,2.0451
-4272.2336609783115,-266.93886726,0.008399999999999963,2.1399
-4272.877537239945,-266.44331013,0.0038000000000000256,2.1454
-4272.780501038217,-267.2433388,0.007299999999999862,2.1572
-4272.672679366267,-265.84323663,0.006199999999999761,2.13
-4273.41297675461,-266.63123969,0.006899999999999906,2.17
-4272.010779773297,-266.09969004,0.005599999999999383,2.1716
-4275.1582347785115,-267.60643736,0.007500000000000284,2.1902
-4271.01990531809,-265.93988087,0.011400000000000077,2.1941
-4273.309433767292,-267.14471321,0.006599999999999717,2.1683
-4275.351666375862,-269.62971251,0.0019000000000000128,2.2176
-4276.037923836053,-269.09413757,0.0034000000000000696,2.1936
-4276.062828071446,-269.22289461,0.017999999999999794,2.2156
-4275.275122987482,-269.25299633,0.004399999999999515,2.2337
-4275.716343230199,-269.41768295,0.005599999999999383,2.209
-4274.832430453121,-269.71189862,0.007200000000000095,2.229
-4275.515807107525,-269.26239767,0.009299999999999642,2.1934
-4275.632188235034,-269.51556336,0.013099999999999667,2.1899
-4276.187532023211,-268.79695262,0.0018000000000002458,2.1738
-4275.1492505975675,-269.5229275,0.00020000000000042206,2.1826
-4275.510617586774,-269.51298334,0.003100000000000769,2.2224
-4276.06023240915,-269.43106019,0.007600000000000051,2.2204
-4274.889407558712,-269.16089389,0.00849999999999973,2.2131
-4275.016282306707,-269.84035408,0.005700000000000038,2.2009
-4275.184013770719,-269.27956985,0.012900000000000134,2.1816
-4275.9033091197225,-269.57795898,0.007500000000000284,2.2189
-4275.569340929471,-269.8697421,0.009399999999999409,2.2342
-4275.087946451623,-269.12482395,0.0007999999999999119,2.162
-4275.354412245555,-268.94780768,0.0027999999999996916,2.1769
-4275.5615439004905,-269.62602358,0.014899999999999913,2.1981
-4275.373977724792,-269.54922462,0.005399999999999849,2.2246
-4275.0650015067895,-269.63617975,0.0048000000000003595,2.2075
-4277.255122495289,-269.04096152,0.009800000000000253,2.1754
-4274.607779147703,-269.38865967,0.010899999999999466,2.1842
-4275.07190421805,-269.20975794,0.0015999999999998238,2.2328
-4275.773199824451,-269.58257558,0.004399999999999515,2.2132
-4276.10432657835,-269.37192084,0.02719999999999967,2.2242
-4275.12414869159,-268.71246588,0.006600000000000605,2.1887
-4275.464499252349,-269.65324953,0.0012999999999996348,2.2078
-4275.49244264094,-269.62980872,0.0022999999999999687,2.2153
-4275.488725897013,-269.27198307,0.005300000000000082,2.2011
-4276.245764719036,-269.39207641,0.02719999999999967,2.2144
-4274.698013735545,-268.79546735,0.006800000000000139,2.2028
-4276.109268652904,-269.47486178,0.004799999999999471,2.2309
-4275.360357448543,-269.06790563,0.01440000000000019,2.2049
-4275.317102991974,-269.36692795,0.008099999999999774,2.1823
-4274.842798689525,-269.4130829,0.0015000000000000568,2.2041
-4275.128804648485,-269.011555,0.0055000000000005045,2.2102
