calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
,-267.35070308,,2.1903
,-267.15670122,,2.2052
,-267.54140797,,2.1904
,-267.37312791,,2.1975
,-266.71317979,,2.1837
,-266.64440576,,2.1152
,-267.12894106,,2.1092
,-267.03635617,,2.2012
,-267.32786933,,2.1894
,-267.7770934,,2.2105
,-267.73120231,,2.1825
,-266.49616585,,2.164
,-267.56313199,,2.1677
,-267.60221836,,2.2348
,-265.25318345,,2.1292
,-267.63816021,,2.2061
,-265.82906585,,2.1779
,-266.1993673,,2.1863
,-265.25870546,,2.1088
,-266.21414973,,2.2005
,-266.55533592,,2.203
,-267.92482522,,2.179
,-266.96833674,,2.1576
,-265.3545731,,2.0397
,-266.90636331,,2.1025
,-266.86884992,,2.1807
,-266.36300272,,2.1604
,-266.54340189,,2.1974
,-266.77053898,,2.2201
,-266.11439008,,2.1369
,-267.25340735,,2.2138
,-265.38098665,,2.2258
,-268.10373337,,2.2194
,-266.67479172,,2.1533
,-265.46611875,,2.1756
,-267.15569564,,2.205
,-267.02356155,,2.1709
,-266.84910718,,2.1867
,-267.79999713,,2.1308
,-267.80312509,,2.214
,-265.41714021,,2.0451
,-266.93886726,,2.1399
,-266.44331013,,2.1454
,-267.2433388,,2.1572
,-265.84323663,,2.13
,-266.63123969,,2.17
,-266.09969004,,2.1716
,-267.60643736,,2.1902
,-265.93988087,,2.1941
,-267.14471321,,2.1683
,-269.62971251,,2.2176
,-269.09413757,,2.1936
,-269.22289461,,2.2156
,-269.25299633,,2.2337
,-269.41768295,,2.209
,-269.71189862,,2.229
,-269.26239767,,2.1934
,-269.51556336,,2.1899
,-268.79695262,,2.1738
,-269.5229275,,2.1826
,-269.51298334,,2.2224
,-269.43106019,,2.2204
,-269.16089389,,2.2131
,-269.84035408,,2.2009
,-269.27956985,,2.1816
,-269.57795898,,2.2189
,-269.8697421,,2.2342
,-269.12482395,,2.162
,-268.94780768,,2.1769
,-269.62602358,,2.1981
,-269.54922462,,2.2246
,-269.63617975,,2.2075
,-269.04096152,,2.1754
,-269.38865967,,2.1842
,-269.20975794,,2.2328
,-269.58257558,,2.2132
,-269.37192084,,2.2242
,-268.71246588,,2.1887
,-269.65324953,,2.2078
,-269.62980872,,2.2153
,-269.27198307,,2.2011
,-269.39207641,,2.2144
,-268.79546735,,2.2028
,-269.47486178,,2.2309
,-269.06790563,,2.2049
,-269.36692795,,2.1823
,-269.4130829,,2.2041
,-269.011555,,2.2102
,-269.60475637,,2.2116
,-269.82282249,,2.2016
,-268.86361404,,2.2041
,-269.4787468,,2.2285
,-269.74213736,,2.1952
,-268.94814917,,2.2269
,-269.55306459,,2.2358
,-269.94613572,,2.2308
,-269.42061311,,2.217
,-269.21636134,,2.2082
,-269.1817031,,2.2049
,-269.52256721,,2.1984
