calc_energy_eV,ref_energy_eV,calc_gap_eV,ref_gap_eV
-4396.6551,-267.35070308,1.9580000000000002,2.1903
-4396.4534,-267.15670122,1.8559999999999999,2.2052
-4396.5841,-267.54140797,1.891,2.1904
-4396.4106,-267.37312791,2.032,2.1975
-4396.1271,-266.71317979,1.9020000000000001,2.1837
-4395.8858,-266.64440576,1.7720000000000002,2.1152
-4396.3955,-267.12894106,1.5549999999999997,2.1092
-4396.295,-267.03635617,2.0599999999999996,2.2012
-4396.374,-267.32786933,1.923,2.1894
-4396.8137,-267.7770934,1.904,2.2105
-4396.6063,-267.73120231,1.9640000000000004,2.1825
-4395.9896,-266.49616585,1.8610000000000007,2.164
-4396.4972,-267.56313199,1.9559999999999995,2.1677
-4396.6272,-267.60221836,2.048,2.2348
-4395.1272,-265.25318345,1.827,2.1292
-4396.5629,-267.63816021,1.9559999999999995,2.2061
-4395.5641,-265.82906585,2.026,2.1779
-4395.8311,-266.1993673,1.9690000000000003,2.1863
-4395.3941,-265.25870546,1.867,2.1088
-4395.7867,-266.21414973,1.9239999999999995,2.2005
-4396.0189,-266.55533592,1.8960000000000008,2.203
-4396.8916,-267.92482522,1.8529999999999998,2.179
-4396.477,-266.96833674,1.8780000000000001,2.1576
-4395.5444,-265.3545731,1.6770000000000005,2.0397
-4396.2715,-266.90636331,1.745,2.1025
-4396.3793,-266.86884992,1.9219999999999997,2.1807
-4395.9668,-266.36300272,1.8159999999999998,2.1604
-4395.9341,-266.54340189,1.9220000000000006,2.1974
-4395.9472,-266.77053898,2.0760000000000005,2.2201
-4395.7746,-266.11439008,1.6800000000000006,2.1369
-4396.3627,-267.25340735,2.0539999999999994,2.2138
-4395.2107,-265.38098665,1.968,2.2258
-4397.1762,-268.10373337,2.1030000000000006,2.2194
-4396.2758,-266.67479172,1.8120000000000003,2.1533
-4395.367,-265.46611875,1.8229999999999995,2.1756
-4396.3742,-267.15569564,1.9340000000000002,2.205
-4396.5153,-267.02356155,1.7350000000000003,2.1709
-4396.2386,-266.84910718,2.0220000000000002,2.1867
-4396.7202,-267.79999713,2.0229999999999997,2.1308
-4396.6591,-267.80312509,2.0309999999999997,2.214
-4395.2881,-265.41714021,1.604,2.0451
-4396.1841,-266.93886726,1.6840000000000002,2.1399
-4396.0797,-266.44331013,1.67,2.1454
-4396.5388,-267.2433388,1.9430000000000005,2.1572
-4395.5034,-265.84323663,1.6230000000000002,2.13
-4396.3696,-266.63123969,1.8849999999999998,2.17
-4395.7383,-266.09969004,1.867,2.1716
-4396.7598,-267.60643736,1.928,2.1902
-4395.5133,-265.93988087,1.9320000000000004,2.1941
-4396.3256,-267.14471321,1.9569999999999999,2.1683
-4398.1217,-269.62971251,2.1209999999999996,2.2176
-4397.7531,-269.09413757,2.1660000000000004,2.1936
-4397.7986,-269.22289461,2.071999999999999,2.2156
-4397.6257,-269.25299633,2.1180000000000003,2.2337
-4397.9564,-269.41768295,2.197,2.209
-4398.0772,-269.71189862,2.1580000000000004,2.229
-4397.8675,-269.26239767,2.05,2.1934
-4398.1378,-269.51556336,2.0230000000000006,2.1899
-4397.7308,-268.79695262,1.968,2.1738
-4398.126,-269.5229275,2.157,2.1826
-4397.9612,-269.51298334,2.082,2.2224
-4398.0797,-269.43106019,2.1079999999999997,2.2204
-4397.7837,-269.16089389,1.9939999999999998,2.2131
-4398.2523,-269.84035408,1.9670000000000005,2.2009
-4397.9227,-269.27956985,2.1050000000000004,2.1816
-4397.8986,-269.57795898,2.1320000000000006,2.2189
-4398.118,-269.8697421,2.223,2.2342
-4397.7999,-269.12482395,2.0669999999999993,2.162
-4397.6445,-268.94780768,2.098,2.1769
-4398.0759,-269.62602358,2.178000000000001,2.1981
-4397.9587,-269.54922462,2.2729999999999997,2.2246
-4397.9226,-269.63617975,2.143,2.2075
-4397.7938,-269.04096152,2.085,2.1754
-4397.8408,-269.38865967,2.0249999999999995,2.1842
-4397.6906,-269.20975794,2.1919999999999993,2.2328
-4397.7727,-269.58257558,2.096,2.2132
-4397.7768,-269.37192084,2.189,2.2242
-4397.625,-268.71246588,2.0300000000000002,2.1887
-4398.1678,-269.65324953,2.1929999999999996,2.2078
-4398.0102,-269.62980872,2.099,2.2153
-4397.7795,-269.27198307,2.141,2.2011
-4397.7986,-269.39207641,2.181,2.2144
-4397.6724,-268.79546735,2.024,2.2028
-4397.8681,-269.47486178,2.0970000000000004,2.2309
-4397.846,-269.06790563,2.08,2.2049
-4397.821,-269.36692795,2.061,2.1823
-4397.6895,-269.4130829,1.9619999999999997,2.2041
-4397.7717,-269.011555,1.9549999999999992,2.2102
-4398.01,-269.60475637,2.04,2.2116
-4398.1864,-269.82282249,2.0460000000000003,2.2016
-4397.633,-268.86361404,1.9649999999999999,2.2041
-4397.6832,-269.4787468,2.144,2.2285
-4398.2454,-269.74213736,2.0230000000000006,2.1952
-4397.6733,-268.94814917,2.0779999999999994,2.2269
-4397.6755,-269.55306459,2.2039999999999997,2.2358
-4398.1093,-269.94613572,2.0780000000000003,2.2308
-4397.9175,-269.42061311,2.117,2.217
-4397.8212,-269.21636134,2.2089999999999996,2.2082
-4397.696,-269.1817031,2.101,2.2049
-4398.0107,-269.52256721,2.1769999999999996,2.1984
