Structure,Bandgap(eV),FreeEnergy(eV)
structure_000,2.2233,-268.04548098
structure_001,2.1371,-264.10016590
structure_002,2.1241,-266.85199733
structure_003,2.0730,-267.36657539
structure_004,2.2016,-268.23701352
structure_005,2.1128,-265.21278239
structure_006,2.1834,-267.66986783
structure_007,2.1971,-266.20802561
structure_008,2.1815,-267.54853248
structure_009,2.1409,-266.80813080
structure_010,2.1595,-266.94204242
structure_011,2.2059,-267.46878483
structure_012,2.1133,-265.98697159
structure_013,2.2232,-267.22228919
structure_014,2.1301,-266.72141047
structure_015,2.2081,-267.12590496
structure_016,2.1707,-267.18172959
structure_017,2.1746,-267.05668433
structure_018,2.1827,-267.37244048
structure_019,2.1385,-266.47452639
structure_020,2.2079,-265.98267504
structure_021,2.1564,-267.03661678
structure_022,2.1134,-265.20905359
structure_023,2.0801,-266.42680848
structure_024,2.1726,-267.50161063
structure_025,2.2100,-266.85224442
structure_026,2.1515,-266.87356054
structure_027,2.1502,-267.11449828
structure_028,2.2203,-267.53283586
structure_029,2.1815,-267.30672041
structure_030,2.1334,-266.68014282
structure_031,2.1171,-265.36502705
structure_032,2.2102,-267.10840450
structure_033,2.1711,-266.43231529
structure_034,2.2152,-265.73375685
structure_035,2.2015,-266.71267778
structure_036,2.1592,-266.31933984
structure_037,2.1435,-266.62335880
structure_038,2.2281,-266.76581791
structure_039,2.1794,-266.71661465
structure_040,2.2003,-266.19010334
structure_041,2.1852,-266.62323258
structure_042,2.1905,-264.75944343
structure_043,2.2211,-266.37794031
structure_044,2.1357,-267.37626768
structure_045,2.1977,-266.31907912
structure_046,2.1768,-266.42357886
structure_047,2.1580,-266.20929663
structure_048,2.1877,-267.22413836
structure_049,2.1671,-265.92196683
structure_050,2.0889,-266.02475470
structure_051,2.2078,-267.87523388
structure_052,2.1518,-267.68067797
structure_053,2.1382,-266.78466174
structure_054,2.0487,-265.56236446
structure_055,2.1637,-266.81056377
structure_056,2.2133,-267.92228075
structure_057,2.1637,-266.61352478
structure_058,2.1959,-266.46167257
structure_059,2.1904,-267.84609307
structure_060,2.1481,-266.18840476
structure_061,2.1747,-265.60737087
structure_062,2.1697,-266.80237446
structure_063,2.1667,-266.59580565
structure_064,2.1888,-265.64707018
structure_065,2.1449,-267.17051423
structure_066,2.1869,-265.42121565
structure_067,2.1162,-267.38169408
structure_068,2.1404,-266.51790452
structure_069,2.1276,-266.94499457
structure_070,2.1771,-267.60134914
structure_071,2.1569,-266.21941973
structure_072,2.1464,-267.17396796
structure_073,2.1606,-267.57826805
structure_074,2.1581,-267.09379420
structure_075,2.0931,-265.03863679
structure_076,2.1587,-267.00226983
structure_077,2.2005,-265.59540315
structure_078,2.2157,-267.63915055
structure_079,2.1424,-266.69059010
structure_080,2.1963,-266.61889593
structure_081,2.1671,-267.19321696
structure_082,2.2108,-268.19862995
structure_083,2.1935,-266.65806186
structure_084,2.2162,-267.58393697
structure_085,2.0835,-265.73899164
structure_086,2.1675,-266.61340090
structure_087,2.1761,-266.44025191
structure_088,2.1855,-266.83396525
structure_089,2.1814,-267.46089370
structure_090,2.1336,-266.83845595
structure_091,2.1185,-266.00071860
structure_092,2.1569,-267.96609805
structure_093,2.1622,-265.79620428
structure_094,2.1167,-266.30238228
structure_095,2.1791,-266.33770379
structure_096,2.1764,-266.54501314
structure_097,2.1163,-266.90158623
structure_098,2.2082,-266.81295783
structure_099,2.1331,-265.70509571
structure_100,2.2138,-268.60435347
structure_101,2.1101,-266.20702973
structure_102,2.1600,-267.94205628
structure_103,2.1471,-267.02746911
structure_104,2.1851,-266.85690183
structure_105,2.1760,-267.21019324
structure_106,2.1674,-265.75105799
structure_107,2.1925,-266.54425607
structure_108,2.1850,-268.18921468
structure_109,2.1229,-266.29188066
structure_110,2.1517,-266.74588602
structure_111,2.1842,-267.30880953
structure_112,2.2164,-266.81981265
structure_113,2.1193,-265.78695390
structure_114,2.1740,-267.01415484
structure_115,2.1138,-266.93972374
structure_116,2.1763,-267.24569190
structure_117,2.1377,-266.61282472
structure_118,2.1062,-266.06057635
structure_119,2.1141,-266.19452482
structure_120,2.2144,-266.75309893
structure_121,2.1911,-267.06919384
structure_122,2.1835,-267.86787340
structure_123,2.1848,-266.38545628
structure_124,2.1492,-266.94078157
structure_125,2.1698,-267.19410139
structure_126,2.1583,-266.24352577
structure_127,2.1936,-265.96895644
structure_128,2.1704,-267.42010063
structure_129,2.1838,-267.33735469
structure_130,2.1281,-267.04227540
structure_131,2.1440,-266.55052113
structure_132,2.2016,-267.96922233
structure_133,2.1706,-266.80798086
structure_134,2.1766,-266.99238548
structure_135,2.1334,-265.21915682
structure_136,2.1377,-266.38857521
structure_137,2.2000,-267.38976534
structure_138,2.2089,-267.17996703
structure_139,2.1917,-266.55899656
structure_140,2.1803,-266.45963908
structure_141,2.1772,-266.72440166
structure_142,2.1845,-267.87990486
structure_143,2.1407,-266.36982836
structure_144,2.2132,-268.85036722
structure_145,2.1873,-267.71891401
structure_146,2.1259,-267.67053004
structure_147,2.1354,-265.91484182
structure_148,2.1358,-266.45844721
structure_149,2.1754,-267.34188324
structure_150,2.1283,-265.37210180
structure_151,1.9568,-266.42202869
structure_152,2.2230,-267.15712124
structure_153,2.1936,-266.79620283
structure_154,2.1719,-267.48808623
structure_155,2.1970,-265.86673855
structure_156,2.1563,-266.29314432
structure_157,2.1916,-265.87514567
structure_158,2.1559,-266.61324679
structure_159,2.2054,-266.62762761
structure_160,2.1837,-266.58236060
structure_161,2.1668,-266.90689663
structure_162,2.1987,-267.89140650
structure_163,2.1851,-266.13948587
structure_164,2.1726,-266.45455581
structure_165,2.1582,-265.58859083
structure_166,2.2038,-267.06535484
structure_167,2.1382,-267.44686966
structure_168,2.1860,-267.32075560
structure_169,2.2078,-266.69480220
structure_170,2.1378,-266.18453408
structure_171,2.1561,-266.09790444
structure_172,2.1902,-266.81141686
structure_173,2.1640,-267.07523888
structure_174,2.1319,-266.55084041
structure_175,2.1844,-267.22957891
structure_176,2.1935,-265.42626862
structure_177,2.1130,-265.70125529
structure_178,2.1739,-265.80435065
structure_179,2.1619,-266.97111038
structure_180,2.1808,-266.09804001
structure_181,2.1470,-265.80835515
structure_182,2.1558,-267.13784699
structure_183,2.1494,-266.51618940
structure_184,2.1674,-267.82769579
structure_185,2.1535,-265.98604704
structure_186,2.2173,-266.99766068
structure_187,2.0910,-265.72772523
structure_188,2.1525,-266.12180815
structure_189,2.2159,-267.07412338
structure_190,2.2274,-267.72036704
structure_191,2.1878,-267.12838205
structure_192,2.1974,-265.00679961
structure_193,2.1481,-267.00154228
structure_194,2.1873,-267.10730597
structure_195,2.1722,-266.64116291
structure_196,2.1227,-266.95677517
structure_197,2.0949,-263.95386942
structure_198,2.1436,-266.01183393
structure_199,2.2284,-267.56968013
